# 2007 SiO2 Glass, Kitamura et al. 
#   Applied Optics IP, vol. 46, Issue 33, pp.8118-8133
# https://ui.adsabs.harvard.edu/abs/2007ApOpt..46.8118K/abstract
#  Put into plot digitizer
     wl(um)                     n            k  
  0.0349515    0.8714879786956188      0.122735  
  0.0417476    0.8374336628713596      0.216033  
  0.0466019     0.811173263672275      0.276237  
  0.0543689    0.8068140384725155      0.451652  
  0.0669903    0.9391490538188482      0.637192  
  0.0825243    1.1702839654367554      0.814764  
   0.104854    1.4915719736028048      0.898952  
   0.121359    2.2381463232830816      0.794979  
   0.125243     2.234160683204555      0.336272  
   0.129126    2.1219974095160636     0.0663841  
    0.13301    1.9400212808720834     0.0273982  
   0.145631    1.7599755521472393    0.00455368  
   0.153398    1.6746348616645792   0.000371018  
   0.154369    1.6707947517932369   5.72805e-05  
   0.164078     1.632397607878857   3.47476e-06  
   0.175728    1.5965939664011357   6.06622e-07  
   0.197087    1.5528376518487244   3.36272e-07  
   0.216505    1.5289241322293377   1.49409e-07  
   0.242718    1.5010275348046542   9.36548e-08  
    0.31165     1.478112897473997   7.14649e-08  
   0.470874    1.4586713678270768   7.88492e-08  
   0.573786     1.457960390204521    8.4884e-08  
   0.640777      1.45515621751026   9.36548e-08  
   0.673786    1.4541176306429549   1.11241e-07  
   0.748544    1.4532930957683743   1.19754e-07  
   0.795146    1.4534334462360825    1.2892e-07  
   0.918447    1.4538060164475242   1.35417e-07  
   0.999029    1.4534031450334213   1.45781e-07  
    1.05355    1.4579192739315432   5.58951e-08  
    1.33954    1.4520267134083715   5.59231e-08  
    1.82923    1.4517318283478686   1.65088e-07  
    1.95131    1.4526512343304263   4.10042e-07  
    2.31841    1.4497509127972001   1.24033e-06  
    2.63113     1.444192348739041   3.23702e-06  
    3.01229    1.4358648592599839   4.35062e-06  
    3.32524    1.4246681203687854   7.29439e-06  
    3.65133    1.4106193423890088   2.96333e-05  
    4.05943    1.3996225089771805   7.01064e-05  
    4.29044    1.3952340414687825   0.000178496  
    4.68496     1.360997065027974   0.000392254  
    4.80689    1.3517127575102923    0.00127678  
    4.98323    1.3400779929075124     0.0046999  
     5.1602    1.3284016614356173    0.00544855  
    5.74577    1.2888732803424028    0.00572901  
    6.08619    1.2601657637636798    0.00632476  
    6.39938    1.2251684326386851    0.00681257  
    6.94396    1.1169442419450484    0.00915884  
    7.37932     0.955837346105251     0.0206294  
    7.58338    0.8543859548085682     0.0313428  
    7.81431     0.652080386034062     0.0924837  
    7.86834    0.6044608166014651      0.213352  
    7.92255    0.5566826034061829      0.348868  
    8.22177    0.3787797005870843      0.712031  
    8.43957   0.45070542415133075       0.86711  
     8.6981     0.406116455645929       1.31755  
    8.88855   0.32095612241233873       1.95313  
    9.01099    0.7468801796846734        2.4373  
    9.11984     1.308013777038272       2.96758  
    9.22879    2.1644140897027615       2.96814  
    9.41963    2.5350069365426697       2.10457  
    9.65148     2.844794325908558       1.13877  
     9.8152     2.790612572373862      0.663262  
    10.0335     2.490798646284188      0.333364  
     10.306     2.203495894039736      0.267326  
    10.1697    2.3343546895424834      0.302216  
    10.9189      1.98887295154185      0.204207  
    11.2595    1.8986675889328066      0.176308  
    11.7088     1.763184838472834      0.214795  
    12.0082     1.712547362934363      0.310739  
    12.2124    1.7487852840562006       0.34297  
     12.512    1.8158775841386205      0.388031  
    12.8116     1.872143820255227      0.360633  
    13.0296     1.903885370823146      0.296362  
    13.4249     1.886734850628931      0.172682  
    13.7112             1.8495975     0.0981554  
    14.0792             1.7782975     0.0586132  
    14.3789    1.7181650672865183     0.0470044  
    14.7738    1.6554579431689875     0.0482076  
       15.0    1.6245331595784718     0.0553211  
    15.8317    1.4659856025538707      0.101373  
    17.0793    1.3615673684210527       0.19038  
    18.2436     1.210538545269583      0.289002  
     19.408    0.8546523036187106      0.533935  
    20.2397    0.5260320860033726       1.04462  
    20.2397    0.5260320860033726       1.24051  
    20.4061    0.5362377655986508       1.48525  
    20.5724    0.5912175925432722       1.77828  
    20.9883    1.4858770251815896        2.3107  
    21.4041     2.296796113176374        2.3876  
    21.9031    2.6486793983202523       1.86779  
    21.9863     2.707350118408371       1.53468  
    22.4853     2.787042445211389       1.14303  
     23.317    2.8751580082630404      0.894174  
    23.8992    2.8302152897473998      0.520984  
    24.6477    2.6525977534613667      0.293771  
    25.2299     2.542467737085008      0.211753  
    26.3943    2.3674712463359024      0.182746  
    28.2241    2.2631105004249363      0.161633  
    33.1311     2.180450838744884      0.110019  
    42.5294    2.1023059124919175     0.0497373  
     50.181    2.0644559399487368     0.0269212  
    80.3718    1.9861842893444333     0.0137602  
    83.6986     1.973107843104872     0.0138733  
    86.6928    1.9701003815028901     0.0145716  
     88.273    1.9685131826439457     0.0145716  
    90.4354    1.9692921567449764     0.0139873  
    92.9305    1.9726147891819539      0.013317  
    94.8434      1.97516212740034     0.0131008  
